IdConvenio,NomConvenio
100,CORTESIA
101,PARTICULAR
1000,ASSEFAZ
1001,BRADESCO
1002,AMIL
1003,BACEN
1004,CASSI
1005,SAÚDE CAIXA
1006,SULAMERICA
1007,TESTE
1008,CASEMBRAPA
1009,CONAB
1010,AFEB BRASAL
1011,SCAIXA-01
1012,E-VIDA
1013,FACEB
1014,AFFEGO
1015,CAMED
1017,ASETE (ASTE)
1018,CODEVASF-CASEC
1019,CAEME
1021,FAPES
1022,NOTRE DAME
1023,CNTI
1024,FASCAL
1025,SISCAIXA-06
1026,SCXTRF-54
1027,SCAMARA-05
1028,SCXSTF-55
1029,SCXSENADO-53
1030,POSTAL SAUDE
1031,ASSEFAZ BIOMOL
1032,ALLIANZ SAÚDE
1033,UNAFISCO-SINDIFISCO
1034,TST SAUDE
1035,TRT SAUDE
1036,TRF-PRO SOCIAL
1037,TRE SAÚDE
1038,TJDFT-PRO SAUDE
1039,STM-PLAS/JMU
1040,STJ-PRO SER
1041,STF
1042,SERPRO
1043,PROASA
1044,MPT
1045,MPM-PLANASSISTE
1046,MPT-PLANASSISTE
1047,PETROBRAS DISTRIBUIDORA
1048,PETROBRAS PETRÓLEO
1049,OMINT
1050,LIFE EMPRESARIAL
1051,INFRAERO
1052,GRAVIA
1053,CAESAN
1054,EMBRATEL
1055,SULAMERICA-090
1056,GEAP
1057,SJ-DF -PRO SOCIAL
1058,CARE PLUS
1059,BRB
1060,CÂMARA DOS DEPUTADOS - Medicina Laboratorial
1061,SCAIXAPER-99
1062,SISCAIXA-07
1063,SISCAIXA-20
1064,E-VIDAPER
1065,CASSI-PER
1066,FACEBPER
1067,MPF-PLANASSISTE
1068,CASSI BIOMOL
1069,BRA CITOLAB
1070,SUL CITOLAB
1071,SULAMERICA BIOMOL
1072,NOTREDAME
1073,BRADESCO BIOMOL
1074,POLIAME
1075,BRB CITOLAB
1076,BIOCITHO
1077,BACEN AMH
1078,Convênio Não Aceito - Devolução Material
1079,HSF - HOSPITAL SÃO FRANCISCO
1080,GDF-SAÚDE
1081,BRADESCO MEDIGEST
1082,REAL GRANDEZA
1083,MedHealth
1084,SIS SENADO
1085,FUSEX
1086,FUSEX - SAMEx-Cmb
1087,FUSEX - Pass
1088,CBMDF
1089,CENTRO DE DIAGNOSTICO POR IMAGEM DO GAMA LTDA - ME
1090,SULAMERICA	 - DIAGNOSE
1091,PMDF
1092,HOSPITAL NAVAL
1093,CLUDE SAÚDE
1094,CONSULTORIO DE ENFERMAGEM
1095,PF SAÚDE
1096,PRÓ-SAÚDE
1097,PARTICULAR - CONVERTIDO
1098,CÂMARA DOS DEPUTADOS
1099,REVITALITÉ
1100,NEXUS
1101,ABAC
1102,HOSPITAL BIO VIDAS
1103,MPF - Medicina Laboratorial
1104,SCAMARA-05 - Medicina Laboratorial
1105,GDF SAUDE  - Medicina Laboratorial
1106,ASSEFAZ - MEDICINA LABORATORIAL
1107,PMDF - MEDICINA LABORATORIAL
1108,SAÚDE CAIXA - MEDICINA LABORATORIAL
1109,PARTICULAR - MEDICINA LABORATORIAL
1110,STJ- PRO SER - MEDICINA LABORATORIAL
1111,UNIMED
1112,GEAP - MEDICINA LABORATORIAL
1115,CORTESIA - MEDICINA LABORATORIAL
1116,BRADESCO - MEDICINA LABORATORIAL
1117,TJDFT-PRO SAUDE - MEDICINA LABORATORIAL
1118,BACEN - MEDICINA LABORATORIAL
1119,SIS SENADO - MEDICINA LABORATORIAL
1120,HOSPITAL BIO VIDAS - Medicina Laboratorial
1121,PROASA - MEDICINA LABORATORIAL
1122,POSTAL SAUDE - MEDICINA LABOATORIAL
1123,STJ - MEDICINA LABORATORIAL
1124,STJ-PRO SER-MEDICINA LABORATORIAL
1125,GAMA SAÚDE
1126,GAMA SAÚDE - MEDICINA LABORATORIAL
1127,SCAIXA-01 - MEDICINA LABORATORIAL
1128,SERPRO  - MEDICINA LABORATORIAL
1129,POLICIA FEDERAL - MEDICINA LABORATORIAL
1130,PF SAUDE - MEDICINA LABORATORIAL
1131,TRT SAUDE - MEDICINA LABORATORIAL
1132,TST SAUDE - MEDICINA LABORATORIAL
1133,STF - MEDICINA LABORATORIAL
1134,FASCAL - MEDICINA LABORATORIAL
